tool,family,access,parameter,type,required,default,enum_values,parameter_class,description
access_force_cleanup_orphaned,Procesos/recuperación,write-capable,projectId,string,False,,,common,Canonical project identity for traceability. Prefer the Engram project name when available. Paths and roots still come from .dysflow/project.json unless explicitly overridden by a tool that supports overrides.
access_force_cleanup_orphaned,Procesos/recuperación,write-capable,accessPath,string,False,,,common,Frontend .accdb path to scan. Defaults to the accessDbPath declared in .dysflow/project.json when omitted.
access_force_cleanup_orphaned,Procesos/recuperación,write-capable,confirmPid,number,False,,,functional,"Optional explicit PID the operator confirms they want killed. Omit confirmPid to list orphan candidates (MSACCESS.EXE or pwsh.exe worker). When present, the tool refuses zero or negative values. No wildcards, no name match — only this exact PID, and only if it is headless AND holding the accessPath (MSACCESS) or owned by a Dysflow operation (pwsh worker)."
analyze_form_layout,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
analyze_form_layout,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
analyze_form_layout,UI de formularios,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
analyze_form_layout,UI de formularios,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
analyze_form_layout,UI de formularios,read-only,alignmentThresholdTwips,number,False,,,functional,Maximum |topA − topB| (twips) for two controls to count as sharing a visual row. Defaults to 50. Smaller values tighten the alignment net.
analyze_form_layout,UI de formularios,read-only,sectionBounds,object,False,,,functional,"Optional section bounds by section name (e.g. { Detail: { width: 20000, height: 10000 }, FormHeader: { width: 5000, height: 1000 } }). When supplied together with `controlSection`, the off-section check runs."
analyze_form_layout,UI de formularios,read-only,controlSection,object,False,,,functional,"Optional control-name → section-name map (e.g. { txtHeader: 'FormHeader', txtDetail: 'Detail' }). Required alongside `sectionBounds` for the off-section check."
analyze_form_layout,UI de formularios,read-only,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
analyze_form_ui,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
analyze_form_ui,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
analyze_form_ui,UI de formularios,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
analyze_form_ui,UI de formularios,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
analyze_form_ui,UI de formularios,read-only,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
apply_form_design_plan,UI de formularios,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
apply_form_design_plan,UI de formularios,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
apply_form_design_plan,UI de formularios,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
apply_form_design_plan,UI de formularios,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
apply_form_design_plan,UI de formularios,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
apply_form_design_plan,UI de formularios,write-capable,projectRoot,string,False,,,common,Optional override for project root.
apply_form_design_plan,UI de formularios,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
apply_form_design_plan,UI de formularios,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
apply_form_design_plan,UI de formularios,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
apply_form_design_plan,UI de formularios,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
apply_form_design_plan,UI de formularios,write-capable,sourcePath,string,True,,,functional,Source path alias for databasePath.
apply_form_design_plan,UI de formularios,write-capable,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
apply_form_design_plan,UI de formularios,write-capable,plan,object,True,,,functional,
apply_form_design_plan,UI de formularios,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
